Box size: max: 20.70783 min: 0.99219617 in Ang
T: 1073
Cation charge: 1  Anion charge: -1
Lag time  Cat-Cat_self  An-An_self  Cat-Cat_cross  An-An_cross  Cat-An_cross
0.0  0.0  0.0  0.0  0.0  -0.0
0.005  1.733123942339276  1.1349372721288171  -0.019595547290755203  -0.009536864365210987  0.07191084365020171
0.01  3.3883323940164387  2.2445648298783922  -0.03896490560154499  -0.019022259141917467  0.13044436924969396
0.015  4.903652047108036  3.307130914853828  -0.057928355793809984  -0.02841835040991827  0.1643067849727974
0.02  6.242165322987951  4.306673072791236  -0.0763809496760321  -0.03770690921081421  0.16572201984087817
0.025  7.392605588242337  5.233530527588704  -0.09429380284767232  -0.04688686693309397  0.13091722153604637
0.03  8.3641025997238  6.083597004170533  -0.11168539356310234  -0.055963429972637264  0.059787114000205005
0.035  9.178648064201978  6.856999170359539  -0.1285742992671911  -0.06493329994983424  -0.044924741372067124
0.04  9.863915252641204  7.556725622399093  -0.14493304052095443  -0.0737724732789685  -0.17858988631262387
0.045  10.447851888833851  8.18750526103023  -0.16066508440042454  -0.08243192731671531  -0.33557155959735563
0.05  10.95546356799397  8.755042631686667  -0.17562236464284742  -0.0908424471643077  -0.5099061709844925
0.055  11.407514386541594  9.265570002788333  -0.189663471468157  -0.09892554981008686  -0.6957776008882798
0.06  11.82051891819919  9.72559363435012  -0.20272718185906147  -0.10660573064435844  -0.8878186281842256
0.065  12.207351811214858  10.14170943751347  -0.21488201522152295  -0.11382017436737127  -1.0812843067755098
0.07  12.577956551533829  10.520415570036207  -0.2263245452426029  -0.12052392734913658  -1.272140816508218
0.075  12.939870957632083  10.86791023332914  -0.23732781745895237  -0.12669070853138892  -1.457105500586793
0.08  13.298509139462329  11.189900540915142  -0.24816486182846612  -0.13231136309578487  -1.6336584311640359
0.085  13.657287463287394  11.49145619685704  -0.2590388832308438  -0.1373921753474998  -1.800032704470865
0.09  14.01772993216475  11.776928655350599  -0.27004329331096283  -0.1419540188099222  -1.9551853293095587
0.095  14.379655477860606  12.049936124603347  -0.2811597247202713  -0.14603180778304056  -2.098747922913238
0.1  14.741483774725724  12.313398513049453  -0.2922882864363518  -0.14967297225993148  -2.2309552718504104
0.105  15.100636757463842  12.569599461571903  -0.3032955503301349  -0.15293398804876487  -2.3525506676535417
0.11  15.453975866923884  12.820255461148397  -0.31406265017489  -0.15587507155523672  -2.464667983333111
0.115  15.79820632565572  13.066581642603637  -0.324518441429162  -0.15855442719042614  -2.5686958858417803
0.12  16.13020164795904  13.309353793009524  -0.33464908473926364  -0.1610240132655955  -2.6661407609727146
0.125  16.447237924322344  13.54897131558909  -0.3444818208513757  -0.16332801840747568  -2.75851003151367
0.13  16.747149611215224  13.78552554148947  -0.3540483058133143  -0.1655034568059477  -2.8472270764185312
0.135  17.02841813793803  14.01887387271496  -0.3633443609317632  -0.16758092076155223  -2.9335720247618164
0.14  17.29019977373467  14.248715426698636  -0.37230989159760436  -0.16958409010354733  -3.0186362992293447
0.145  17.532302555082605  14.47466116970103  -0.3808438907307288  -0.17152851249733397  -3.1032863722789954
0.15  17.75512464977095  14.69629222819414  -0.3888488940044656  -0.17342116647934167  -3.1881416144249664
0.155  17.959562898371928  14.91320314633121  -0.39628213388664285  -0.17526168869723313  -3.2735741567093166
0.16  18.14689936911104  15.125030442381053  -0.40318723234145254  -0.17704482661413654  -3.359736725720769
0.165  18.31867688694327  15.331469532414792  -0.4096913810221336  -0.1787627303956058  -3.446616851486635
0.17  18.476574720033614  15.532283915098553  -0.415972559000614  -0.18040600850628188  -3.5341044203846166
0.175  18.622293901692807  15.727308902254038  -0.42221617008365775  -0.18196379750676717  -3.6220538951814802
0.18  18.757462216433563  15.916449958708641  -0.42857920768935204  -0.18342392111785397  -3.7103264203694946
0.185  18.88356657566216  16.099675695358556  -0.43516885093839736  -0.18477366313861326  -3.7988058903972752
0.19  19.001911657641823  16.27700753289862  -0.4420357951719411  -0.18600086692022855  -3.887393104529007
0.195  19.113598366506693  16.44850941317161  -0.44918033588413725  -0.18709524527855884  -3.975987948133406
0.2  19.219518546412388  16.614280333330974  -0.4565649209635873  -0.18805024926080743  -4.064468642687024
0.205  19.320365575443347  16.77445049405303  -0.46412457760554726  -0.1888655602798217  -4.152674559533536
0.21  19.416659493779875  16.929179801907395  -0.47177001376815536  -0.18954977265744574  -4.240398438714288
0.215  19.508780875269075  17.078656614746848  -0.4793853125931945  -0.190122864111944  -4.327391832496224
0.22  19.597003277667213  17.223095077644064  -0.4868292079304034  -0.1906182468404695  -4.41338241160849
0.225  19.68151600846432  17.362730049755687  -0.49394871991094075  -0.1910841036379971  -4.498097933098672
0.23  19.76243815660183  17.497809223391524  -0.500604155685522  -0.19158349380961723  -4.5812916154493175
0.235  19.839833246318307  17.628583415127604  -0.5066951124573887  -0.19219249029029425  -4.662763567275211
0.24  19.91373339026906  17.7552974871358  -0.5121773756851885  -0.19299548736437647  -4.7423710515340005
0.245  19.984172351261737  17.8781843103793  -0.5170666469078727  -0.19407738036583308  -4.820023292058297
0.25  20.05121493253088  17.997462673924556  -0.5214301097416064  -0.19551372439968595  -4.895667089569323
0.255  20.11496652045062  18.11333820220846  -0.525371014472234  -0.19736119207921696  -4.969276874386528
0.26  20.175559540583013  18.22600476660012  -0.5290126293793962  -0.19965072732306868  -5.0408589544920215
0.265  20.233131869907034  18.335643311695385  -0.5324860067864838  -0.20238494830204393  -5.110469055094975
0.27  20.287815229844043  18.44241683476902  -0.5359238427996161  -0.20554017161029803  -5.178232795082893
0.275  20.33973891956014  18.546463987367176  -0.539458576340927  -0.20907223124964006  -5.244354987040425
0.28  20.389042504381333  18.647895603031703  -0.5432182755630803  -0.21292441517925442  -5.309105962082356
0.285  20.43588974636663  18.746796227174332  -0.5473146211960908  -0.21703558572718432  -5.3727828844090055
0.29  20.480480083418524  18.84322955728095  -0.5518252925881814  -0.2213469081393643  -5.435657512671559
0.295  20.52305481679142  18.93724578082703  -0.5567804215676179  -0.22580644120016885  -5.497927882590839
0.3  20.56389296380699  19.028889226464443  -0.5621609700773403  -0.23037161961867428  -5.559686607497229
0.305  20.60329303867076  19.118204749567333  -0.5679083334850614  -0.23500986301435633  -5.620911447799541
0.31  20.641542757910635  19.205241390526993  -0.5739374650063054  -0.2396972920682896  -5.6814796381114485
0.315  20.678884151906185  19.290053118476955  -0.5801459315530965  -0.24441573750256465  -5.741202490320672
0.32  20.715485589521716  19.372698090772495  -0.586418485629531  -0.2491493412647526  -5.799869247246276
0.325  20.75143347852093  19.45323812525629  -0.5926335682010218  -0.25388282067352885  -5.857285470669711
0.33  20.786749513272877  19.53173875998509  -0.5986767342471921  -0.2586025106973882  -5.9132963033172325
0.335  20.821426200368254  19.608268938929193  -0.6044575668391459  -0.2632992262819391  -5.967793388763848
0.34  20.85546526965944  19.682899205096692  -0.6099204045821837  -0.2679707269256375  -6.020708739144205
0.345  20.888905342089828  19.75569811721417  -0.6150426131789247  -0.2726218332345408  -6.072001203217296
0.35  20.921832104998703  19.82672783983399  -0.6198237449853047  -0.2772612992656013  -6.1216439284359
0.355  20.954371924130616  19.896040678963193  -0.6242751520610669  -0.2818959999432888  -6.169619415740282
0.36  20.986674896298823  19.963677967387927  -0.628417846151944  -0.28652477555745526  -6.215921745638514
0.365  21.018892811990952  20.029671464083  -0.6322881642063173  -0.29113522897558997  -6.260560162082219
0.37  21.05115550041199  20.09404630805752  -0.6359426196927784  -0.29570554746652805  -6.303561323172687
0.375  21.083550791240835  20.156823972676687  -0.6394532364939882  -0.30021053434566125  -6.344975039460643
0.38  21.116113889870483  20.218023910823128  -0.6428920036056736  -0.30462854959609936  -6.384887268312388
0.385  21.148826164515626  20.277663934333376  -0.6463113349398789  -0.30894573095130645  -6.4234329892387905
0.39  21.18161774396976  20.33576083181638  -0.6497323907692607  -0.3131557582294889  -6.460793895333675
0.395  21.21437059497843  20.39233264229871  -0.6531505880781652  -0.31725618144924955  -6.497173333898929
0.4  21.24692485181997  20.44740215610841  -0.6565566310197014  -0.32124421929098684  -6.5327569052987275
0.405  21.27909115361613  20.500999562293718  -0.6599596667575552  -0.32511460166214295  -6.567674630287431
0.41  21.310664852096014  20.553162548848004  -0.6633971556617523  -0.3288597919053424  -6.601975700342368
0.415  21.341435132312128  20.60393392671781  -0.6669260443593322  -0.3324711355064589  -6.635620005138791
0.42  21.37119004683598  20.653358093407217  -0.6706031718553671  -0.33593971935486494  -6.668487695840517
0.425  21.399727147980784  20.70147765299962  -0.6744683113453795  -0.33925676784209635  -6.70040440666904
0.43  21.42687590692492  20.748331105752015  -0.6785381700785191  -0.34241375500392857  -6.731175211328658
0.435  21.452527666091587  20.793952456419284  -0.6828104793734383  -0.34540240917518183  -6.760621631044947
0.44  21.476664037074602  20.83837327395213  -0.6872709997306273  -0.3482150678942871  -6.788620999603476
0.445  21.49937414962833  20.88162678254463  -0.6918966825078248  -0.3508459461937583  -6.815144448845766
0.45  21.520852506550067  20.923752623085402  -0.6966547558833676  -0.35329326379999126  -6.840279468786856
0.455  21.541376505337553  20.9648005704107  -0.7015027227978825  -0.3555612786706869  -6.864222340515429
0.46  21.561269262623263  21.004831821795737  -0.7063917822821737  -0.3576609799926229  -6.887238539692019
0.465  21.580853765188152  21.043917303861456  -0.7112701950070619  -0.35960878771973664  -6.909603093997061
0.47  21.600406031543322  21.082133365121106  -0.7160827603272819  -0.3614235447864847  -6.9315407148353385
0.475  21.620119029581133  21.11955577317464  -0.7207688401700039  -0.3631226480506078  -6.953186303337564
0.48  21.640087138150754  21.15625317827555  -0.7252651695476607  -0.36471829488714796  -6.974578789278018
